,date,year,stage,home_team,away_team,home_score,away_score,outcome,winner,decided_by_shootout,is_host_match,neutral,city,country,home_team_rank,away_team_rank
0,1994-06-17,1994,group,Germany,Bolivia,1,0,home_win,Germany,False,False,True,Chicago,United States,1,43
1,1994-06-17,1994,group,Spain,South Korea,2,2,draw,,False,False,True,Dallas,United States,5,37
2,1994-06-18,1994,group,Colombia,Romania,1,3,away_win,Romania,False,False,True,Pasadena,United States,17,7
3,1994-06-18,1994,group,Italy,Republic of Ireland,0,1,away_win,Republic of Ireland,False,False,True,East Rutherford,United States,4,14
4,1994-06-18,1994,group,United States,Switzerland,1,1,draw,,False,True,False,Pontiac,United States,23,12
5,1994-06-19,1994,group,Belgium,Morocco,1,0,home_win,Belgium,False,False,True,Orlando,United States,27,28
6,1994-06-19,1994,group,Cameroon,Sweden,2,2,draw,,False,False,True,Pasadena,United States,24,10
7,1994-06-19,1994,group,Norway,Mexico,1,0,home_win,Norway,False,False,True,"Washington, D.C.",United States,6,16
8,1994-06-20,1994,group,Brazil,Russia,2,0,home_win,Brazil,False,False,True,Palo Alto,United States,3,19
9,1994-06-20,1994,group,Netherlands,Saudi Arabia,2,1,home_win,Netherlands,False,False,True,"Washington, D.C.",United States,2,34
10,1994-06-21,1994,group,Argentina,Greece,4,0,home_win,Argentina,False,False,True,Foxborough,United States,8,31
11,1994-06-21,1994,group,Germany,Spain,1,1,draw,,False,False,True,Chicago,United States,1,5
12,1994-06-21,1994,group,Nigeria,Bulgaria,3,0,home_win,Nigeria,False,False,True,Dallas,United States,11,29
13,1994-06-22,1994,group,Romania,Switzerland,1,4,away_win,Switzerland,False,False,True,Pontiac,United States,7,12
14,1994-06-22,1994,group,United States,Colombia,2,1,home_win,United States,False,True,False,Pasadena,United States,23,17
15,1994-06-23,1994,group,Italy,Norway,1,0,home_win,Italy,False,False,True,East Rutherford,United States,4,6
16,1994-06-23,1994,group,South Korea,Bolivia,0,0,draw,,False,False,True,Foxborough,United States,37,43
17,1994-06-24,1994,group,Brazil,Cameroon,3,0,home_win,Brazil,False,False,True,Palo Alto,United States,3,24
18,1994-06-24,1994,group,Mexico,Republic of Ireland,2,1,home_win,Mexico,False,False,True,Orlando,United States,16,14
19,1994-06-24,1994,group,Sweden,Russia,3,1,home_win,Sweden,False,False,True,Pontiac,United States,10,19
20,1994-06-25,1994,group,Argentina,Nigeria,2,1,home_win,Argentina,False,False,True,Foxborough,United States,8,11
21,1994-06-25,1994,group,Belgium,Netherlands,1,0,home_win,Belgium,False,False,True,Orlando,United States,27,2
22,1994-06-25,1994,group,Saudi Arabia,Morocco,2,1,home_win,Saudi Arabia,False,False,True,East Rutherford,United States,34,28
23,1994-06-26,1994,group,Bulgaria,Greece,4,0,home_win,Bulgaria,False,False,True,Chicago,United States,29,31
24,1994-06-26,1994,group,Switzerland,Colombia,0,2,away_win,Colombia,False,False,True,Palo Alto,United States,12,17
25,1994-06-26,1994,group,United States,Romania,0,1,away_win,Romania,False,True,False,Pasadena,United States,23,7
26,1994-06-27,1994,group,Bolivia,Spain,1,3,away_win,Spain,False,False,True,Chicago,United States,43,5
27,1994-06-27,1994,group,Germany,South Korea,3,2,home_win,Germany,False,False,True,Dallas,United States,1,37
28,1994-06-28,1994,group,Brazil,Sweden,1,1,draw,,False,False,True,Pontiac,United States,3,10
29,1994-06-28,1994,group,Italy,Mexico,1,1,draw,,False,False,True,"Washington, D.C.",United States,4,16
30,1994-06-28,1994,group,Republic of Ireland,Norway,0,0,draw,,False,False,True,East Rutherford,United States,14,6
31,1994-06-28,1994,group,Russia,Cameroon,6,1,home_win,Russia,False,False,True,Palo Alto,United States,19,24
32,1994-06-29,1994,group,Belgium,Saudi Arabia,0,1,away_win,Saudi Arabia,False,False,True,"Washington, D.C.",United States,27,34
33,1994-06-29,1994,group,Morocco,Netherlands,1,2,away_win,Netherlands,False,False,True,Orlando,United States,28,2
34,1994-06-30,1994,group,Argentina,Bulgaria,0,2,away_win,Bulgaria,False,False,True,Dallas,United States,8,29
35,1994-06-30,1994,group,Greece,Nigeria,0,2,away_win,Nigeria,False,False,True,Foxborough,United States,31,11
36,1994-07-02,1994,knockout,Germany,Belgium,3,2,home_win,Germany,False,False,True,Chicago,United States,1,27
37,1994-07-02,1994,knockout,Spain,Switzerland,3,0,home_win,Spain,False,False,True,"Washington, D.C.",United States,5,12
38,1994-07-03,1994,knockout,Romania,Argentina,3,2,home_win,Romania,False,False,True,Pasadena,United States,7,8
39,1994-07-03,1994,knockout,Saudi Arabia,Sweden,1,3,away_win,Sweden,False,False,True,Dallas,United States,34,10
40,1994-07-04,1994,knockout,Netherlands,Republic of Ireland,2,0,home_win,Netherlands,False,False,True,Orlando,United States,2,14
41,1994-07-04,1994,knockout,United States,Brazil,0,1,away_win,Brazil,False,True,False,Palo Alto,United States,23,3
42,1994-07-05,1994,knockout,Mexico,Bulgaria,1,1,draw,Bulgaria,True,False,True,East Rutherford,United States,16,29
43,1994-07-05,1994,knockout,Nigeria,Italy,1,2,away_win,Italy,False,False,True,Foxborough,United States,11,4
44,1994-07-09,1994,knockout,Italy,Spain,2,1,home_win,Italy,False,False,True,Foxborough,United States,4,5
45,1994-07-09,1994,knockout,Netherlands,Brazil,2,3,away_win,Brazil,False,False,True,Dallas,United States,2,3
46,1994-07-10,1994,knockout,Bulgaria,Germany,2,1,home_win,Bulgaria,False,False,True,East Rutherford,United States,29,1
47,1994-07-10,1994,knockout,Romania,Sweden,2,2,draw,Sweden,True,False,True,Palo Alto,United States,7,10
48,1994-07-13,1994,knockout,Bulgaria,Italy,1,2,away_win,Italy,False,False,True,East Rutherford,United States,29,4
49,1994-07-13,1994,knockout,Sweden,Brazil,0,1,away_win,Brazil,False,False,True,Pasadena,United States,10,3
50,1994-07-16,1994,knockout,Sweden,Bulgaria,4,0,home_win,Sweden,False,False,True,Pasadena,United States,10,29
51,1994-07-17,1994,knockout,Brazil,Italy,0,0,draw,Brazil,True,False,True,Pasadena,United States,3,4
52,1998-06-10,1998,group,Brazil,Scotland,2,1,home_win,Brazil,False,False,True,Saint-Denis,France,1,41
53,1998-06-10,1998,group,Morocco,Norway,2,2,draw,,False,False,True,Montpellier,France,13,7
54,1998-06-11,1998,group,Cameroon,Austria,1,1,draw,,False,False,True,Toulouse,France,49,31
55,1998-06-11,1998,group,Italy,Chile,2,2,draw,,False,False,True,Bordeaux,France,14,9
56,1998-06-12,1998,group,France,South Africa,3,0,home_win,France,False,True,False,Marseille,France,18,24
57,1998-06-12,1998,group,Paraguay,Bulgaria,0,0,draw,,False,False,True,Montpellier,France,29,35
58,1998-06-12,1998,group,Saudi Arabia,Denmark,0,1,away_win,Denmark,False,False,True,Lens,France,34,27
59,1998-06-13,1998,group,Netherlands,Belgium,0,0,draw,,False,False,True,Saint-Denis,France,25,36
60,1998-06-13,1998,group,South Korea,Mexico,1,3,away_win,Mexico,False,False,True,Lyon,France,20,4
61,1998-06-13,1998,group,Spain,Nigeria,2,3,away_win,Nigeria,False,False,True,Nantes,France,15,74
62,1998-06-14,1998,group,Argentina,Japan,1,0,home_win,Argentina,False,False,True,Toulouse,France,6,12
63,1998-06-14,1998,group,Jamaica,Croatia,1,3,away_win,Croatia,False,False,True,Lens,France,30,19
65,1998-06-15,1998,group,England,Tunisia,2,0,home_win,England,False,False,True,Marseille,France,5,21
66,1998-06-15,1998,group,Germany,United States,2,0,home_win,Germany,False,False,True,Paris,France,2,11
67,1998-06-15,1998,group,Romania,Colombia,1,0,home_win,Romania,False,False,True,Lyon,France,22,10
68,1998-06-16,1998,group,Brazil,Morocco,3,0,home_win,Brazil,False,False,True,Nantes,France,1,13
69,1998-06-16,1998,group,Scotland,Norway,1,1,draw,,False,False,True,Bordeaux,France,41,7
70,1998-06-17,1998,group,Chile,Austria,1,1,draw,,False,False,True,Saint-Étienne,France,9,31
71,1998-06-17,1998,group,Italy,Cameroon,3,0,home_win,Italy,False,False,True,Montpellier,France,14,49
72,1998-06-18,1998,group,France,Saudi Arabia,4,0,home_win,France,False,True,False,Saint-Denis,France,18,34
73,1998-06-18,1998,group,South Africa,Denmark,1,1,draw,,False,False,True,Toulouse,France,24,27
74,1998-06-19,1998,group,Nigeria,Bulgaria,1,0,home_win,Nigeria,False,False,True,Paris,France,74,35
75,1998-06-19,1998,group,Spain,Paraguay,0,0,draw,,False,False,True,Saint-Étienne,France,15,29
76,1998-06-20,1998,group,Belgium,Mexico,2,2,draw,,False,False,True,Bordeaux,France,36,4
77,1998-06-20,1998,group,Japan,Croatia,0,1,away_win,Croatia,False,False,True,Nantes,France,12,19
78,1998-06-20,1998,group,Netherlands,South Korea,5,0,home_win,Netherlands,False,False,True,Marseille,France,25,20
79,1998-06-21,1998,group,Argentina,Jamaica,5,0,home_win,Argentina,False,False,True,Paris,France,6,30
81,1998-06-21,1998,group,United States,Iran,1,2,away_win,Iran,False,False,True,Lyon,France,11,42
82,1998-06-22,1998,group,Colombia,Tunisia,1,0,home_win,Colombia,False,False,True,Montpellier,France,10,21
83,1998-06-22,1998,group,Romania,England,2,1,home_win,Romania,False,False,True,Toulouse,France,22,5
84,1998-06-23,1998,group,Brazil,Norway,1,2,away_win,Norway,False,False,True,Marseille,France,1,7
85,1998-06-23,1998,group,Chile,Cameroon,1,1,draw,,False,False,True,Nantes,France,9,49
86,1998-06-23,1998,group,Italy,Austria,2,1,home_win,Italy,False,False,True,Saint-Denis,France,14,31
87,1998-06-23,1998,group,Scotland,Morocco,0,3,away_win,Morocco,False,False,True,Saint-Étienne,France,41,13
88,1998-06-24,1998,group,France,Denmark,2,1,home_win,France,False,True,False,Lyon,France,18,27
89,1998-06-24,1998,group,Nigeria,Paraguay,1,3,away_win,Paraguay,False,False,True,Toulouse,France,74,29
90,1998-06-24,1998,group,South Africa,Saudi Arabia,2,2,draw,,False,False,True,Bordeaux,France,24,34
91,1998-06-24,1998,group,Spain,Bulgaria,6,1,home_win,Spain,False,False,True,Lens,France,15,35
92,1998-06-25,1998,group,Belgium,South Korea,1,1,draw,,False,False,True,Paris,France,36,20
93,1998-06-25,1998,group,Germany,Iran,2,0,home_win,Germany,False,False,True,Montpellier,France,2,42
94,1998-06-25,1998,group,Netherlands,Mexico,2,2,draw,,False,False,True,Saint-Étienne,France,25,4
96,1998-06-26,1998,group,Argentina,Croatia,1,0,home_win,Argentina,False,False,True,Bordeaux,France,6,19
97,1998-06-26,1998,group,Colombia,England,0,2,away_win,England,False,False,True,Lens,France,10,5
98,1998-06-26,1998,group,Japan,Jamaica,1,2,away_win,Jamaica,False,False,True,Lyon,France,12,30
99,1998-06-26,1998,group,Romania,Tunisia,1,1,draw,,False,False,True,Saint-Denis,France,22,21
100,1998-06-27,1998,knockout,Brazil,Chile,4,1,home_win,Brazil,False,False,True,Paris,France,1,9
101,1998-06-27,1998,knockout,Italy,Norway,1,0,home_win,Italy,False,False,True,Marseille,France,14,7
102,1998-06-28,1998,knockout,France,Paraguay,1,0,home_win,France,False,True,False,Lens,France,18,29
103,1998-06-28,1998,knockout,Nigeria,Denmark,1,4,away_win,Denmark,False,False,True,Saint-Denis,France,74,27
104,1998-06-29,1998,knockout,Germany,Mexico,2,1,home_win,Germany,False,False,True,Montpellier,France,2,4
106,1998-06-30,1998,knockout,Argentina,England,2,2,draw,Argentina,True,False,True,Saint-Étienne,France,6,5
107,1998-06-30,1998,knockout,Romania,Croatia,0,1,away_win,Croatia,False,False,True,Bordeaux,France,22,19
108,1998-07-03,1998,knockout,Brazil,Denmark,3,2,home_win,Brazil,False,False,True,Nantes,France,1,27
109,1998-07-03,1998,knockout,France,Italy,0,0,draw,France,True,True,False,Saint-Denis,France,18,14
110,1998-07-04,1998,knockout,Germany,Croatia,0,3,away_win,Croatia,False,False,True,Lyon,France,2,19
111,1998-07-04,1998,knockout,Netherlands,Argentina,2,1,home_win,Netherlands,False,False,True,Marseille,France,25,6
112,1998-07-07,1998,knockout,Brazil,Netherlands,1,1,draw,Brazil,True,False,True,Marseille,France,1,25
113,1998-07-08,1998,knockout,France,Croatia,2,1,home_win,France,False,True,False,Saint-Denis,France,18,19
114,1998-07-11,1998,knockout,Netherlands,Croatia,1,2,away_win,Croatia,False,False,True,Paris,France,25,19
115,1998-07-12,1998,knockout,France,Brazil,3,0,home_win,France,False,True,False,Saint-Denis,France,18,1
116,2002-05-31,2002,group,France,Senegal,0,1,away_win,Senegal,False,False,True,Seoul,South Korea,1,42
117,2002-06-01,2002,group,Germany,Saudi Arabia,8,0,home_win,Germany,False,False,True,Sapporo,Japan,11,34
118,2002-06-01,2002,group,Republic of Ireland,Cameroon,1,1,draw,,False,False,True,Niigata,Japan,15,17
119,2002-06-01,2002,group,Uruguay,Denmark,1,2,away_win,Denmark,False,False,True,Ulsan,South Korea,24,20
120,2002-06-02,2002,group,Argentina,Nigeria,1,0,home_win,Argentina,False,False,True,Kashima,Japan,3,27
121,2002-06-02,2002,group,England,Sweden,1,1,draw,,False,False,True,Saitama,Japan,12,19
122,2002-06-02,2002,group,Paraguay,South Africa,2,2,draw,,False,False,True,Busan,South Korea,18,37
123,2002-06-02,2002,group,Spain,Slovenia,3,1,home_win,Spain,False,False,True,Gwangju,South Korea,8,25
124,2002-06-03,2002,group,Brazil,Turkey,2,1,home_win,Brazil,False,False,True,Ulsan,South Korea,2,22
125,2002-06-03,2002,group,Croatia,Mexico,0,1,away_win,Mexico,False,False,True,Niigata,Japan,21,7
126,2002-06-03,2002,group,Italy,Ecuador,2,0,home_win,Italy,False,False,True,Sapporo,Japan,6,36
127,2002-06-04,2002,group,China,Costa Rica,0,2,away_win,Costa Rica,False,False,True,Gwangju,South Korea,50,29
128,2002-06-04,2002,group,Japan,Belgium,2,2,draw,,False,True,False,Saitama,Japan,32,23
129,2002-06-04,2002,group,South Korea,Poland,2,0,home_win,South Korea,False,True,False,Busan,South Korea,40,38
130,2002-06-05,2002,group,Germany,Republic of Ireland,1,1,draw,,False,False,True,Kashima,Japan,11,15
131,2002-06-05,2002,group,Russia,Tunisia,2,0,home_win,Russia,False,False,True,Kobe,Japan,28,31
132,2002-06-05,2002,group,United States,Portugal,3,2,home_win,United States,False,False,True,Suwon,South Korea,13,5
